gap_id,timestamp_before,timestamp_after,duration_minutes,estimated_missing_m15_timestamps,is_grid_aligned_interval,crosses_utc_date,weekday_before,weekday_after,preliminary_category,classification_reason
1260,2023-06-26T13:45:00Z,2023-06-26T15:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1261,2023-06-26T16:45:00Z,2023-06-26T19:00:00Z,135.0,8,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1262,2023-06-26T20:45:00Z,2023-06-26T23:00:00Z,135.0,8,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1263,2023-06-27T10:45:00Z,2023-06-27T13:00:00Z,135.0,8,True,False,Tuesday,Tuesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1264,2023-06-27T13:45:00Z,2023-06-27T15:00:00Z,75.0,4,True,False,Tuesday,Tuesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1265,2023-06-27T15:45:00Z,2023-06-27T17:00:00Z,75.0,4,True,False,Tuesday,Tuesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1266,2023-06-27T17:45:00Z,2023-06-27T19:00:00Z,75.0,4,True,False,Tuesday,Tuesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1267,2023-06-27T19:45:00Z,2023-06-27T21:00:00Z,75.0,4,True,False,Tuesday,Tuesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1268,2023-06-27T21:45:00Z,2023-06-27T23:00:00Z,75.0,4,True,False,Tuesday,Tuesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1269,2023-06-28T08:45:00Z,2023-06-28T10:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1270,2023-06-28T10:45:00Z,2023-06-28T12:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1271,2023-06-28T12:45:00Z,2023-06-28T14:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1272,2023-06-28T14:45:00Z,2023-06-28T16:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1273,2023-06-28T16:45:00Z,2023-06-28T18:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1274,2023-06-28T18:45:00Z,2023-06-28T20:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1275,2023-06-28T20:45:00Z,2023-06-28T22:00:00Z,75.0,4,True,False,Wednesday,Wednesday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1276,2023-06-28T22:45:00Z,2023-06-29T00:00:00Z,75.0,4,True,True,Wednesday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval crosses a UTC date
1277,2023-06-29T10:45:00Z,2023-06-29T12:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1278,2023-06-29T12:45:00Z,2023-06-29T14:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1279,2023-06-29T14:45:00Z,2023-06-29T16:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1280,2023-06-29T16:45:00Z,2023-06-29T18:00:00Z,75.0,4,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1281,2023-06-29T18:45:00Z,2023-06-29T21:00:00Z,135.0,8,True,False,Thursday,Thursday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1282,2023-06-29T22:45:00Z,2023-06-30T00:00:00Z,75.0,4,True,True,Thursday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval crosses a UTC date
1283,2023-06-30T09:45:00Z,2023-06-30T11:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1284,2023-06-30T11:45:00Z,2023-06-30T13:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1285,2023-06-30T13:45:00Z,2023-06-30T15:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1286,2023-06-30T16:45:00Z,2023-06-30T18:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1287,2023-06-30T18:45:00Z,2023-06-30T20:00:00Z,75.0,4,True,False,Friday,Friday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1288,2023-06-30T20:45:00Z,2023-07-02T22:00:00Z,2955.0,196,True,True,Friday,Sunday,likely_weekly_closure,duration >= 1440 configured minutes; Friday/Saturday before and Sunday/Monday after
1289,2023-07-02T22:45:00Z,2023-07-03T00:00:00Z,75.0,4,True,True,Sunday,Monday,unclassified,interval does not satisfy the configured descriptive category rules
1290,2023-07-03T09:45:00Z,2023-07-03T11:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1291,2023-07-03T11:45:00Z,2023-07-03T13:00:00Z,75.0,4,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
1292,2023-07-03T14:45:00Z,2023-07-03T17:00:00Z,135.0,8,True,False,Monday,Monday,non_weekend_intraday,both endpoints are Monday-Friday; duration is below the configured large-gap threshold; interval is within one UTC date
